"team_id","pos_team","division","conference","season","player_id","receiver_player_name","plays","games","team_games","playsgame","TEPA","EPAplay","EPAgame","yards","yardsplay","yardsgame","success","comp","targets","catchpct","passing_td","fumbles","TEPA_rank","EPAgame_rank","EPAplay_rank","success_rank","catchpct_rank","yards_rank","yardsplay_rank","yardsgame_rank","fbs_class"
"103","Boston College","fbs","ACC",2025,4567707,"Grayson James",3,2,11,1.5,13.8799514193493,4.62665047311645,6.93997570967467,73,24.3333333333333,36.5,1,3,3,1,3,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2025,4683159,"Lewis Bond",98,11,11,8.90909090909091,46.7762924140802,0.477309106266125,4.25239021946184,821,8.37755102040816,74.6363636363636,0.612244897959184,73,98,0.744897959183674,1,0,22,24,143,60.5,158,28,229,22,"P4"
"103","Boston College","fbs","ACC",2025,4683459,"Sedarius McConnell",1,1,11,1,-1.30129064994194,-1.30129064994194,-1.30129064994194,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2025,4708354,"Jeremiah Franklin",56,11,11,5.09090909090909,8.01542640350505,0.143132614348305,0.728675127591368,339,6.05357142857143,30.8181818181818,0.428571428571429,36,56,0.642857142857143,1,0,413,441,459,498.5,401.5,318.5,529,381,"P4"
"103","Boston College","fbs","ACC",2025,4837385,"Jordan Mcdonald",12,9,11,1.33333333333333,1.58538259953069,0.132115216627557,0.176153622170076,66,5.5,7.33333333333333,0.416666666666667,10,12,0.833333333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2025,4870870,"Ty Lockwood",3,2,11,1.5,0.459536295618388,0.153178765206129,0.229768147809194,30,10,15,0.666666666666667,2,3,0.666666666666667,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2025,4870900,"Dylan Lonergan",1,1,11,1,-0.739799586949122,-0.739799586949122,-0.739799586949122,-1,-1,-1,0,1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2025,4871001,"Jaedn Skeete",9,2,11,4.5,5.09347374855894,0.56594152761766,2.54673687427947,70,7.77777777777778,35,0.555555555555556,8,9,0.888888888888889,1,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2025,4871708,"Luke McLaughlin",4,2,11,2,1.30307137826177,0.325767844565442,0.651535689130884,23,5.75,11.5,0.25,2,4,0.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
"103","Boston College","fbs","ACC",2025,5031157,"Reed Harris",63,10,11,6.3,18.7677228296603,0.29790036237556,1.87677228296603,551,8.74603174603175,55.1,0.492063492063492,32,63,0.507936507936508,0,0,226,220,313,302,639,126.5,191,102,"P4"
"103","Boston College","fbs","ACC",2025,5077304,"Zeke Moore",2,2,11,1,-0.745241455944828,-0.372620727972414,-0.372620727972414,7,3.5,3.5,0,2,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"P4"
