type,region,viewer_index,cycle,target_label,target_url,game_id,request_start_ms,request_started_at,request_started_at_offset_ms,status,ttfb_ms,total_ms,body_bytes,body_hash_short,cf_cache_status,cf_ray,age,cache_control,server,server_timing,x_worker_cache,x_arch,x_replay_play_index,x_upstream_cache,content_encoding
request,ca-central-1,2,0,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435926886,2026-05-10 17:58:46.886000+00:00,1623,200,472.36,513.76,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,ca-central-1,9,0,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435927607,2026-05-10 17:58:47.607000+00:00,2344,200,472.97,493.84,435378,5e24b0a436d3,,9f9ad58468d5d15b-EWR,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=47, percentiles;dur=27, render;dur=0, total;dur=90, cfEdge;dur=183,cfOrigin;dur=0,cfWorker;dur=137",,baseline,,,br
request,ca-central-1,3,0,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435928891,2026-05-10 17:58:48.891000+00:00,3628,200,28.17,168.22,435378,5e24b0a436d3,HIT,9f9ad58b99e9d15b-EWR,0,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=4, cfCacheStatus;desc=""HIT"", cfEdge;dur=5,cfOrigin;dur=0,cfWorker;dur=4",HIT,baseline,,,br
request,ca-central-1,8,0,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435929496,2026-05-10 17:58:49.496000+00:00,4233,200,127.1,128.14,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,ca-central-1,16,0,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435931136,2026-05-10 17:58:51.136000+00:00,5873,200,150.82,162.66,485937,7b94d0e4f34e,,9f9ad599abeed15b-EWR,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=51, percentiles;dur=50, render;dur=0, total;dur=101, cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=120",,tiered,,HIT,br
request,ca-central-1,7,0,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435932170,2026-05-10 17:58:52.170000+00:00,6907,200,73.5,89.17,485937,7b94d0e4f34e,,9f9ad5a01b1dd15b-EWR,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=7, percentiles;dur=4, render;dur=0, total;dur=11, cfEdge;dur=13,cfOrigin;dur=0,cfWorker;dur=40",,tiered,,HIT,br
request,ca-central-1,1,0,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435933242,2026-05-10 17:58:53.242000+00:00,7979,200,57.71,77.31,485937,7b94d0e4f34e,,9f9ad5a6cb47d15b-EWR,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=7, percentiles;dur=3, render;dur=0, total;dur=10, cfEdge;dur=11,cfOrigin;dur=0,cfWorker;dur=26",,tiered,,HIT,br
request,ca-central-1,5,0,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435937192,2026-05-10 17:58:57.192000+00:00,11929,200,188.64,226.65,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,ca-central-1,13,0,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435937226,2026-05-10 17:58:57.226000+00:00,11963,200,69.54,194.83,485937,7b94d0e4f34e,,9f9ad5bfbabcd15b-EWR,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=6, percentiles;dur=5, render;dur=0, total;dur=11, cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=38",,tiered,,HIT,br
request,ca-central-1,14,0,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435937558,2026-05-10 17:58:57.558000+00:00,12295,200,135.88,136.98,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,ca-central-1,15,0,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435939282,2026-05-10 17:58:59.282000+00:00,14019,200,30.83,34.05,435378,5e24b0a436d3,HIT,9f9ad5cc8ab6d15b-EWR,11,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=4, cfCacheStatus;desc=""HIT"", cfEdge;dur=5,cfOrigin;dur=0,cfWorker;dur=4",HIT,baseline,,,br
request,ca-central-1,10,0,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435941454,2026-05-10 17:59:01.454000+00:00,16191,200,70.54,73.54,485937,7b94d0e4f34e,,9f9ad5da2c42d15b-EWR,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=7, percentiles;dur=4, render;dur=0, total;dur=11, cfEdge;dur=11,cfOrigin;dur=0,cfWorker;dur=38",,tiered,,HIT,br
request,ca-central-1,12,0,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435945652,2026-05-10 17:59:05.652000+00:00,20389,200,183.14,189.15,435378,5e24b0a436d3,HIT,9f9ad5f4889c60cb-EWR,17,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=14, cfCacheStatus;desc=""HIT"", cfEdge;dur=111,cfOrigin;dur=0,cfWorker;dur=18",HIT,baseline,,,br
request,ca-central-1,6,0,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435949543,2026-05-10 17:59:09.543000+00:00,24280,200,31.22,38.0,435378,5e24b0a436d3,HIT,9f9ad60ca94260cb-EWR,21,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=4, cfCacheStatus;desc=""HIT"", cfEdge;dur=5,cfOrigin;dur=0,cfWorker;dur=4",HIT,baseline,,,br
request,ca-central-1,4,0,B,https://sports.unseen-university.org/cfb/game/401403910?replay=1778435925&replay_duration=850&arch=tiered,401403910,1778435952326,2026-05-10 17:59:12.326000+00:00,27063,200,92.5,135.02,485937,7b94d0e4f34e,,9f9ad61e1f5860cb-EWR,,"public, max-age=30, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"loadtest_pbp;dur=24, percentiles;dur=5, render;dur=0, total;dur=29, cfEdge;dur=10,cfOrigin;dur=0,cfWorker;dur=61",,tiered,,HIT,br
request,ca-central-1,0,0,A,https://sports.unseen-university.org/cfb/game/401520434?replay=1778435925&replay_duration=850&arch=baseline,401520434,1778435952959,2026-05-10 17:59:12.959000+00:00,27696,200,29.51,40.86,435378,5e24b0a436d3,HIT,9f9ad622086b60cb-EWR,24,"public, max-age=14400, s-maxage=30, stale-while-revalidate=60, stale-if-error=86400",cloudflare,"total;dur=4, cfCacheStatus;desc=""HIT"", cfEdge;dur=4,cfOrigin;dur=0,cfWorker;dur=4",HIT,baseline,,,br
request,ca-central-1,11,0,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435954572,2026-05-10 17:59:14.572000+00:00,29309,200,186.3,187.35,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,ca-central-1,2,1,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435954862,2026-05-10 17:59:14.862000+00:00,29599,200,161.33,162.13,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
request,ca-central-1,8,1,D,https://gameonpaper.com/cfb/game/401628329,401628329,1778435958229,2026-05-10 17:59:18.229000+00:00,32966,200,156.37,157.19,5140,1243dbf05163,,,,,Apache/2.4.41 (Ubuntu),,,,,,gzip
