target_label,bucket,distinct_hashes,wallclock_offset_s
A,0,1,0
A,1,1,30
A,2,1,60
A,3,1,90
A,4,2,120
A,5,2,150
A,6,2,180
A,7,2,210
A,8,1,240
A,9,2,270
A,10,2,300
A,11,2,330
A,12,2,360
A,13,1,390
A,14,1,420
A,15,1,450
A,16,2,480
A,17,1,510
A,18,2,540
A,19,3,570
A,20,2,600
A,21,1,630
A,22,2,660
A,23,3,690
A,24,2,720
A,25,1,750
A,26,1,780
A,27,2,810
A,28,2,840
B,0,1,0
B,1,1,30
B,2,1,60
B,3,1,90
B,4,1,120
B,5,2,150
B,6,2,180
B,7,2,210
B,8,1,240
B,9,1,270
B,10,1,300
B,11,2,330
B,12,2,360
B,13,1,390
B,14,2,420
B,15,2,450
B,16,1,480
B,17,1,510
B,18,2,540
B,19,2,570
B,20,1,600
B,21,1,630
B,22,2,660
B,23,2,690
B,24,2,720
B,25,2,750
B,26,1,780
B,27,1,810
B,28,1,840
D,0,1,0
D,1,1,30
D,2,1,60
D,3,1,90
D,4,1,120
D,5,1,150
D,6,1,180
D,7,1,210
D,8,1,240
D,9,1,270
D,10,1,300
D,11,1,330
D,12,1,360
D,13,1,390
D,14,1,420
D,15,1,450
D,16,1,480
D,17,1,510
D,18,1,540
D,19,1,570
D,20,1,600
D,21,1,630
D,22,1,660
D,23,1,690
D,24,1,720
D,25,1,750
D,26,1,780
D,27,1,810
D,28,1,840
