target_label,region,n,p50_ttfb,p95_ttfb,p99_ttfb,max_ttfb,median_total,worker_hit_rate,cf_cache_hit_rate
A,ca-central-1,170,49.685,316.7374999999999,406.7643000000001,472.97,156.01,0.8411764705882353,0.8411764705882353
A,us-east-1,170,43.03,299.7229999999995,452.0604,470.6,145.62,0.8294117647058824,0.8294117647058824
A,us-east-2,172,30.59,302.69399999999985,388.5154999999998,406.72,142.485,0.8313953488372093,0.8313953488372093
A,us-west-1,171,36.16,606.48,811.19,903.01,94.28,0.8362573099415205,0.8362573099415205
A,us-west-2,171,33.54,645.14,848.1010000000009,969.69,148.85,0.8304093567251462,0.8304093567251462
B,ca-central-1,168,113.75999999999999,298.4485000000002,347.93430000000023,458.23,208.875,0.0,0.0
B,us-east-1,168,122.66499999999999,281.97200000000004,447.2959000000011,555.57,212.815,0.0,0.0
B,us-east-2,168,72.715,168.66750000000008,242.9204000000001,258.06,135.33499999999998,0.0,0.0
B,us-west-1,167,96.83,275.0299999999999,371.70800000000014,556.18,177.31,0.0,0.0
B,us-west-2,167,83.72,285.2169999999999,421.64860000000004,587.75,183.24,0.0,0.0
D,ca-central-1,142,185.70499999999998,313.203,452.1962000000002,476.3,186.8,0.0,0.0
D,us-east-1,140,163.185,305.0724999999999,487.30799999999766,3486.22,167.82999999999998,0.0,0.0
D,us-east-2,141,191.2,334.33,608.5939999999981,1514.24,192.17,0.0,0.0
D,us-west-1,141,335.9,436.72,522.1219999999998,582.76,336.53,0.0,0.0
D,us-west-2,138,362.835,505.4340000000001,1151.880799999996,1653.29,363.465,0.0,0.0
